Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Age (product.metafields.custom.age),Brand (product.metafields.custom.brand),Color (product.metafields.shopify.color-pattern),Earring design (product.metafields.shopify.earring-design),Jewelry material (product.metafields.shopify.jewelry-material),Jewelry type (product.metafields.shopify.jewelry-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
eg15229svjws,Silver Earrings,Sterling Silver 925 Earrings<br>Style: Bujukan Stack White Sapphire<br>Sapphire Carat Weight: 0.61CT<br>S1976344 #18,Gabriel & Co,Apparel & Accessories > Jewelry > Earrings,Earrings,"Anniversary, Birthday, Category 645, Everyday, For Her, For Mom, Gift, Helios Migrated, Round, Stackable, Statement",true,Material,Sterling Silver,,Stone Type,Birthstone,,Metal Color,Silver,,EG15229SVJWS,0.0,shopify,0,deny,manual,575.00,,true,true,,,,,,https://raw.githubusercontent.com/rishs-afk/JoharProductReview/main/shopify_upload/matched_images/EG15229SVJWS-1.jpg,1,Silver Earrings,false,Silver Earrings,,509,Gabriel & Co.,,,,,,,,,,g,,170.00,active
eg15229svjws,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/rishs-afk/JoharProductReview/main/shopify_upload/matched_images/EG15229SVJWS-2.jpg,2,Silver Earrings,,,,,,,,,,,,,,,,,,
eg15107svjws,Silver Earrings,Sterling Silver 925 Inifinity Studs<br>White Sapphire Carat Weight: 0.58CT<br>S1976349 #17,Gabriel & Co,Apparel & Accessories > Jewelry > Earrings,Earrings,"Anniversary, Birthday, Category 645, Everyday, For Her, For Mom, Gift, Helios Migrated, Round, Stackable, Statement, Stud",true,Material,Sterling Silver,,Stone Type,Birthstone,,Metal Color,Silver,,EG15107SVJWS,0.0,shopify,0,deny,manual,345.00,,true,true,,,,,,https://raw.githubusercontent.com/rishs-afk/JoharProductReview/main/shopify_upload/matched_images/EG15107SVJWS-1.jpg,1,Silver Earrings,false,Silver Earrings,,509,Gabriel & Co.,,,,,,,,,,g,,110.00,active
eg15107svjws,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/rishs-afk/JoharProductReview/main/shopify_upload/matched_images/EG15107SVJWS-2.jpg,2,Silver Earrings,,,,,,,,,,,,,,,,,,
eg14995svjpb,Silver Earrings,925 Sterling Silver Huggies<br>Bujukan Pearl Huggies<br>Earring Size: 15 mm<br>S1973349 #16,Gabriel & Co,Apparel & Accessories > Jewelry > Earrings,Earrings,"Anniversary, Birthday, Category 645, Everyday, For Her, For Mom, Gift, Helios Migrated, Stackable",true,Material,Sterling Silver,,Stone Type,Pearls,,Metal Color,Silver,,EG14995SVJPB,0.0,shopify,0,deny,manual,240.00,,true,true,,,,,,https://raw.githubusercontent.com/rishs-afk/JoharProductReview/main/shopify_upload/matched_images/EG14995SVJPB-1.jpg,1,Silver Earrings,false,Silver Earrings,,509,Gabriel & Co.,,,,,,,,,,g,,71.00,active
eg14995svjpb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/rishs-afk/JoharProductReview/main/shopify_upload/matched_images/EG14995SVJPB-2.jpg,2,Silver Earrings,,,,,,,,,,,,,,,,,,
eg14660svjjj,Silver Earrings,925 Sterling Silver Hoops<br>Bujukan Hoops<br>Hoop Size: 20 mm<br>S1976120 #14,Gabriel & Co,Apparel & Accessories > Jewelry > Earrings,Earrings,"Anniversary, Birthday, Category 645, Everyday, For Her, For Mom, Gift, Helios Migrated, Hoop, Stackable",true,Material,Sterling Silver,,Metal Color,Silver,,,,,EG14660SVJJJ,0.0,shopify,0,deny,manual,255.00,,true,true,,,,,,https://raw.githubusercontent.com/rishs-afk/JoharProductReview/main/shopify_upload/matched_images/EG14660SVJJJ-1.jpg,1,Silver Earrings,false,Silver Earrings,,509,Gabriel & Co.,,,,,,,,,,g,,67.00,active
eg14660svjjj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/rishs-afk/JoharProductReview/main/shopify_upload/matched_images/EG14660SVJJJ-2.jpg,2,Silver Earrings,,,,,,,,,,,,,,,,,,
eg14647svjbs,Silver Earrings,Sterling Silver 925 Black Spinel Dangle Earrings<br>Black Spinel Carat Weight: 0.18CT<br>S1976348 #13,Gabriel & Co,Apparel & Accessories > Jewelry > Earrings,Earrings,"Anniversary, Birthday, Category 645, Drop/Dangle, Everyday, For Her, For Mom, Gift, Helios Migrated, Stackable, Statement",true,Material,Sterling Silver,,Metal Color,Silver,,,,,EG14647SVJBS,0.0,shopify,0,deny,manual,430.00,,true,true,,,,,,https://raw.githubusercontent.com/rishs-afk/JoharProductReview/main/shopify_upload/matched_images/EG14647SVJBS-1.jpg,1,Silver Earrings,false,Silver Earrings,,509,Gabriel & Co.,,,,,,,,,,g,,121.00,active
eg14647svjbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/rishs-afk/JoharProductReview/main/shopify_upload/matched_images/EG14647SVJBS-2.jpg,2,Silver Earrings,,,,,,,,,,,,,,,,,,
eg14647svjbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/rishs-afk/JoharProductReview/main/shopify_upload/matched_images/EG14647SVJBS-3.jpg,3,Silver Earrings,,,,,,,,,,,,,,,,,,
eg14629svjjj,Silver Earrings,925 Sterling Silver Huggies<br>Bujukan Huggies<br>S1975636  #11,Gabriel & Co,Apparel & Accessories > Jewelry > Earrings,Earrings,"Anniversary, Birthday, Category 645, Everyday, For Her, For Mom, Gift, Helios Migrated, Stackable",true,Material,Sterling Silver,,Metal Color,Silver,,,,,EG14629SVJJJ,0.0,shopify,0,deny,manual,225.00,,true,true,,,,,,https://raw.githubusercontent.com/rishs-afk/JoharProductReview/main/shopify_upload/matched_images/EG14629SVJJJ-1.jpg,1,Silver Earrings,false,Silver Earrings,,509,Gabriel & Co.,,,,,,,,,,g,,73.00,active
eg14629svjjj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/rishs-afk/JoharProductReview/main/shopify_upload/matched_images/EG14629SVJJJ-2.jpg,2,Silver Earrings,,,,,,,,,,,,,,,,,,
eg14165svjjj,Silver Earrings,925 Sterling Silver Huggie<br>Bujukan Huggies<br>S1940823 #9,Gabriel & Co,Apparel & Accessories > Jewelry > Earrings,Earrings,"Anniversary, Birthday, Category 645, Everyday, For Her, For Mom, Gift, Helios Migrated, Stackable",true,Material,Sterling Silver,,Metal Color,Silver,,,,,EG14165SVJJJ,0.0,shopify,0,deny,manual,280.00,,true,true,,,,,,https://raw.githubusercontent.com/rishs-afk/JoharProductReview/main/shopify_upload/matched_images/EG14165SVJJJ-1.jpg,1,Silver Earrings,false,Silver Earrings,,509,Gabriel & Co.,,,,,,,,,,g,,75.00,active
eg14165svjjj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/rishs-afk/JoharProductReview/main/shopify_upload/matched_images/EG14165SVJJJ-2.jpg,2,Silver Earrings,,,,,,,,,,,,,,,,,,
eg14001svjjj,Silver Earrings,925 Sterling Silver Earrings<br>Style: Bujukan Twisted Hoops<br>S1981306 #7,Gabriel & Co,Apparel & Accessories > Jewelry > Earrings,Earrings,"Anniversary, Birthday, Category 645, Everyday, For Her, For Mom, Gift, Helios Migrated, Hoop, Stackable",true,Material,Sterling Silver,,Metal Color,Silver,,,,,EG14001SVJJJ,0.0,shopify,0,deny,manual,150.00,,true,true,,,,,,https://raw.githubusercontent.com/rishs-afk/JoharProductReview/main/shopify_upload/matched_images/EG14001SVJJJ-1.jpg,1,Silver Earrings,false,Silver Earrings,,509,Gabriel & Co.,,,,,,,,,,g,,44.00,active
eg14001svjjj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/rishs-afk/JoharProductReview/main/shopify_upload/matched_images/EG14001SVJJJ-2.jpg,2,Silver Earrings,,,,,,,,,,,,,,,,,,
eg13994svjjj,Silver Earrings,925 Sterling Silver Earring<br>Style: Twisted Hoops 22mm<br>S1980758 #6,Gabriel & Co,Apparel & Accessories > Jewelry > Earrings,Earrings,"Anniversary, Birthday, Category 645, Everyday, For Her, For Mom, Gift, Helios Migrated, Hoop, Stackable",true,Material,Sterling Silver,,Metal Color,Silver,,,,,EG13994SVJJJ,0.0,shopify,0,deny,manual,145.00,,true,true,,,,,,https://raw.githubusercontent.com/rishs-afk/JoharProductReview/main/shopify_upload/matched_images/EG13994SVJJJ-1.jpg,1,Silver Earrings,false,Silver Earrings,,509,Gabriel & Co.,,,,,,,,,,g,,44.00,active
eg13994svjjj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/rishs-afk/JoharProductReview/main/shopify_upload/matched_images/EG13994SVJJJ-2.jpg,2,Silver Earrings,,,,,,,,,,,,,,,,,,
